Month,Year,Municipality,Tax_Rev,RetainedByCity_PercentOfTotalTax,Rec_SpecialSalesTax_Amount,Combined_Local_Govs,Notes,Unincorp_County,NR_Code,Unincorp_NR_Code
10,2016,Leadville,3780,0.15,0.1,,,,,
10,2016,Log Lane Village,9965,0.15,0.1,,,,,
10,2016,Nederland,2870,0.15,0.1,,,,,
10,2016,Northglenn,34530,0.15,0.1,,,,,
10,2016,Parachute,11589,0.15,0.1,,,,,
6,2017,Silt,,0.15,0.1,,,,NR,
10,2016,Park County,4250,0.15,0.1,,,,,
10,2016,Pueblo County,49216,0.15,0.1,,,,,
10,2016,Ridgway,7738,0.15,0.1,,,,,
10,2016,Salida,7350,0.15,0.1,,,,,
10,2016,Telluride,5346,0.15,0.1,,,,,
10,2016,Trinidad,28026,0.15,0.1,,,,,
10,2016,Wheat Ridge,13614,0.15,0.1,,,,,
10,2016,Combined Local Governments,178600,0.15,0.1,"Alma, Basalt, Black Hawk, Carbondale, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown, Lafayette, Louisville, Lyons, Mancos, Manitou Springs, Moffat,Mountain View, Oak Creek, Pagosa Springs, San Luis, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Steamboat Springs, Walsenberg, Archuletta County, Clear Creek County, Costilla County, Gilpin County, Grand County, and Larimer County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
11,2016,Antonito,5701,0.15,0.1,,,,,
11,2016,Aspen,9196,0.15,0.1,,,,,
11,2016,Aurora,109755,0.15,0.1,,,,,
11,2016,Boulder,49749,0.15,0.1,,,,,
11,2016,Boulder County,17103,0.15,0.1,,,,,
11,2016,Breckenridge,9751,0.15,0.1,,,,,
11,2016,Carbondale,4194,0.15,0.1,,,,,
11,2016,Central City,3040,0.15,0.1,,,,,
11,2016,Cortez,17531,0.15,0.1,,,,,
11,2016,Crested Butte,1390,0.15,0.1,,,,,
11,2016,Denver,436135,0.15,0.1,,,,,
11,2016,Dillon,4264,0.15,0.1,,,,,
11,2016,Durango,28150,0.15,0.1,,,,,
11,2016,Eagle County,10910,0.15,0.1,,,,,
11,2016,Edgewater,22838,0.15,0.1,,,,,
11,2016,Fort Collins,49013,0.15,0.1,,,,,
11,2016,Garden City,38033,0.15,0.1,,,,,
11,2016,Glendale,20113,0.15,0.1,,,,,
11,2016,Glenwood Springs,8601,0.15,0.1,,,,,
11,2016,Gunnison,2385,0.15,0.1,,,,,
11,2016,Idaho Springs,4989,0.15,0.1,,,,,
11,2016,Leadville,2970,0.15,0.1,,,,,
11,2016,Log Lane Village,9116,0.15,0.1,,,,,
11,2016,Nederland,2376,0.15,0.1,,,,,
11,2016,Northglenn,33267,0.15,0.1,,,,,
11,2016,Parachute,11059,0.15,0.1,,,,,
11,2016,Park County,3766,0.15,0.1,,,,,
11,2016,Pueblo County,39949,0.15,0.1,,,,,
11,2016,Ridgway,4481,0.15,0.1,,,,,
11,2016,Salida,5284,0.15,0.1,,,,,
11,2016,Steamboat Springs,9557,0.15,0.1,,,,,
11,2016,Telluride,3640,0.15,0.1,,,,,
11,2016,Trinidad,44022,0.15,0.1,,,,,
11,2016,Wheat Ridge,12078,0.15,0.1,,,,,
11,2016,Combined Local Governments,161338,0.15,0.1,"Alma, Basalt, Black Hawk, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown, Lafayette, Louisville, Lyons, Mancos, Manitou Springs, Moffat,Mountain View, Oak Creek, Pagosa Springs, San Luis, Sedgwick, Silt, Silver Plume,Silverthorne, Silverton, Walsenberg, Adams County, Archuletta County, Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County,  and Ouray County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
12,2016,Antonito,4801,0.15,0.1,,,,,
12,2016,Aspen,5683,0.15,0.1,,,,,
12,2016,Aurora,108289,0.15,0.1,,,,,
12,2016,Boulder,43593,0.15,0.1,,,,,
12,2016,Boulder County,15666,0.15,0.1,,,,,
12,2016,Breckenridge,7718,0.15,0.1,,,,,
12,2016,Carbondale,1911,0.15,0.1,,,,,
12,2016,Central City,2450,0.15,0.1,,,,,
12,2016,Cortez,16316,0.15,0.1,,,,,
12,2016,Crested Butte,1211,0.15,0.1,,,,,
12,2016,Denver,363128,0.15,0.1,,,,,
12,2016,Dillon,4789,0.15,0.1,,,,,
12,2016,Durango,25182,0.15,0.1,,,,,
12,2016,Eagle County,8838,0.15,0.1,,,,,
12,2016,Edgewater,21661,0.15,0.1,,,,,
12,2016,Fort Collins,48274,0.15,0.1,,,,,
12,2016,Garden City,36215,0.15,0.1,,,,,
12,2016,Glendale,33060,0.15,0.1,,,,,
12,2016,Glenwood Springs,5734,0.15,0.1,,,,,
12,2016,Gunnison,1856,0.15,0.1,,,,,
12,2016,Log Lane Village,8604,0.15,0.1,,,,,
12,2016,Nederland,1848,0.15,0.1,,,,,
12,2016,Northglenn,28610,0.15,0.1,,,,,
12,2016,Parachute,9307,0.15,0.1,,,,,
12,2016,Park County,3389,0.15,0.1,,,,,
12,2016,Pueblo County,37999,0.15,0.1,,,,,
12,2016,Ridgway,6236,0.15,0.1,,,,,
12,2016,Salida,4620,0.15,0.1,,,,,
12,2016,Steamboat Springs,8369,0.15,0.1,,,,,
12,2016,Telluride,2199,0.15,0.1,,,,,
12,2016,Trinidad,33327,0.15,0.1,,,,,
12,2016,Wheat Ridge,11605,0.15,0.1,,,,,
12,2016,Combined Local Governments,146402,0.15,0.1,"Alma, Basalt, Black Hawk, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown, Idaho Springs, Lafayette, Leadville, Louisville, Lyons, Mancos,Manitou Springs, Moffat, Mountain View, Oak Creek, Pagosa Springs, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Walsenberg, Adams County, Archuletta County, Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County,  and Ouray County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
1,2017,Adams County,27599,0.15,0.1,,,,,
1,2017,Antonito,5091,0.15,0.1,,,,,
1,2017,Aspen,13504,0.15,0.1,,,,,
1,2017,Aurora,114042,0.15,0.1,,,,,
1,2017,Boulder,48967,0.15,0.1,,,,,
1,2017,Boulder County,16773,0.15,0.1,,,,,
1,2017,Breckenridge,14319,0.15,0.1,,,,,
1,2017,Carbondale,2418,0.15,0.1,,,,,
1,2017,Central City,2713,0.15,0.1,,,,,
1,2017,Cortez,11881,0.15,0.1,,,,,
1,2017,Crested Butte,4441,0.15,0.1,,,,,
1,2017,Denver,409968,0.15,0.1,,,,,
1,2017,Dillon,7382,0.15,0.1,,,,,
1,2017,Durango,29919,0.15,0.1,,,,,
1,2017,Eagle County,18883,0.15,0.1,,,,,
1,2017,Edgewater,44877,0.15,0.1,,,,,
1,2017,Fort Collins,50533,0.15,0.1,,,,,
1,2017,Garden City,37300,0.15,0.1,,,,,
1,2017,Glendale,27164,0.15,0.1,,,,,
1,2017,Glenwood Springs,6432,0.15,0.1,,,,,
1,2017,Gunnison,5340,0.15,0.1,,,,,
1,2017,Idaho Springs,7456,0.15,0.1,,,,,
1,2017,Leadville,2742,0.15,0.1,,,,,
1,2017,Log Lane Village,8690,0.15,0.1,,,,,
1,2017,Nederland,2089,0.15,0.1,,,,,
1,2017,Northglenn,18124,0.15,0.1,,,,,
1,2017,Parachute,9855,0.15,0.1,,,,,
1,2017,Park County,3508,0.15,0.1,,,,,
1,2017,Pueblo County,39201,0.15,0.1,,,,,
1,2017,Ridgway,5852,0.15,0.1,,,,,
1,2017,Salida,5274,0.15,0.1,,,,,
1,2017,Steamboat Springs,11305,0.15,0.1,,,,,
1,2017,Telluride,3964,0.15,0.1,,,,,
1,2017,Trinidad,35812,0.15,0.1,,,,,
1,2017,Wheat Ridge,13235,0.15,0.1,,,,,
1,2017,Combined Local Governments,140671,0.15,0.1,"Alma, Basalt, Black Hawk, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown, Louisville, Lyons, Mancos, Manitou Springs, Moffat,  Mountain View,Oak Creek, Pagosa Springs, San Luis, Sedgwick, Silt, Silverthorne, Silverton, Walsenberg,Archuletta County, Clear Creek County, Costilla County, Gilpin County, Grand County,Larimer County, and Ouray County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
2,2017,Adams County,27655,0.15,0.1,,,,,
2,2017,Antonito,4415,0.15,0.1,,,,,
2,2017,Aspen,15813,0.15,0.1,,,,,
2,2017,Aurora,126755,0.15,0.1,,,,,
2,2017,Boulder,44753,0.15,0.1,,,,,
2,2017,Boulder County,14447,0.15,0.1,,,,,
2,2017,Breckenridge,18201,0.15,0.1,,,,,
2,2017,Carbondale,2250,0.15,0.1,,,,,
2,2017,Central City,2100,0.15,0.1,,,,,
2,2017,Cortez,17407,0.15,0.1,,,,,
2,2017,Crested Butte,3212,0.15,0.1,,,,,
2,2017,Denver,412528,0.15,0.1,,,,,
2,2017,Dillon,8764,0.15,0.1,,,,,
2,2017,Durango,26322,0.15,0.1,,,,,
2,2017,Eagle County,20377,0.15,0.1,,,,,
2,2017,Edgewater,45215,0.15,0.1,,,,,
2,2017,Fort Collins,48397,0.15,0.1,,,,,
2,2017,Garden City,35741,0.15,0.1,,,,,
2,2017,Glendale,23697,0.15,0.1,,,,,
2,2017,Glenwood Springs,6334,0.15,0.1,,,,,
2,2017,Gunnison,4883,0.15,0.1,,,,,
2,2017,Idaho Springs,5713,0.15,0.1,,,,,
2,2017,Leadville,2829,0.15,0.1,,,,,
2,2017,Nederland,1845,0.15,0.1,,,,,
2,2017,Northglenn,51091,0.15,0.1,,,,,
2,2017,Parachute,9442,0.15,0.1,,,,,
2,2017,Park County,3165,0.15,0.1,,,,,
2,2017,Pueblo County,29045,0.15,0.1,,,,,
2,2017,Ridgway,1895,0.15,0.1,,,,,
2,2017,Salida,4740,0.15,0.1,,,,,
2,2017,Steamboat Springs,13474,0.15,0.1,,,,,
2,2017,Telluride,7535,0.15,0.1,,,,,
2,2017,Trinidad,34143,0.15,0.1,,,,,
2,2017,Wheat Ridge,12709,0.15,0.1,,,,,
2,2017,Combined Local Governments,145307,0.15,0.1,"Alma, Basalt, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown,Lafayette, Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat,  Mountain View, Oak Creek, Pagosa Springs, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Walsenberg, Archuletta County, Clear Creek County,Costilla County, Gilpin County, Grand County, and Larimer County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
3,2017,Antonito,4976,0.15,0.1,,,,,
3,2017,Aspen,16719,0.15,0.1,,,,,
3,2017,Aurora,95800,0.15,0.1,,,,,
3,2017,Boulder,41257,0.15,0.1,,,,,
3,2017,Boulder County,13379,0.15,0.1,,,,,
3,2017,Breckenridge,15265,0.15,0.1,,,,,
3,2017,Carbondale,1934,0.15,0.1,,,,,
3,2017,Central City,2381,0.15,0.1,,,,,
3,2017,Cortez,15442,0.15,0.1,,,,,
3,2017,Crested Butte,4494,0.15,0.1,,,,,
3,2017,Denver,388459,0.15,0.1,,,,,
3,2017,Dillon,8158,0.15,0.1,,,,,
3,2017,Durango,27021,0.15,0.1,,,,,
3,2017,Eagle County,17047,0.15,0.1,,,,,
3,2017,Edgewater,21396,0.15,0.1,,,,,
3,2017,Ft Collins,44444,0.15,0.1,,,,,
3,2017,Garden City,36613,0.15,0.1,,,,,
3,2017,Glendale,31023,0.15,0.1,,,,,
3,2017,Glenwood Springs,6174,0.15,0.1,,,,,
3,2017,Gunnison,3944,0.15,0.1,,,,,
3,2017,Idaho Springs,5380,0.15,0.1,,,,,
3,2017,Leadville,2818,0.15,0.1,,,,,
3,2017,Log Lane Village,11690,0.15,0.1,,,,,
3,2017,Nederland,1649,0.15,0.1,,,,,
3,2017,Northglenn,14007,0.15,0.1,,,,,
3,2017,Park County,3057,0.15,0.1,,,,,
3,2017,Pueblo County,41143,0.15,0.1,,,,,
3,2017,Ridgway,6138,0.15,0.1,,,,,
3,2017,Salida,4669,0.15,0.1,,,,,
3,2017,Steamboat Springs,13210,0.15,0.1,,,,,
3,2017,Telluride,5518,0.15,0.1,,,,,
3,2017,Trinidad,36166,0.15,0.1,,,,,
3,2017,Wheat Ridge,13365,0.15,0.1,,,,,
5,2017,Crested Butte,1128,0.15,0.1,,,,,
5,2017,De Beque,,0.15,0.1,,,,NR,
5,2017,Denver,453303,0.15,0.1,,,,,
5,2017,Dillon,7216,0.15,0.1,,,,,
5,2017,Durango,31680,0.15,0.1,,,,,
5,2017,Manitou Springs,,0.15,0.1,,,,NR,
5,2017,Moffat,,0.15,0.1,,,,NR,
5,2017,Mountain View,,0.15,0.1,,,,NR,
5,2017,Nederland,1950,0.15,0.1,,,,,
5,2017,Northglenn,34448,0.15,0.1,,,,,
3,2017,Combined Local Governments,154821,0.15,0.1,"Alma, Basalt, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown, Lafayette, Louisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View, Oak Creek, Pagosa Springs, Parachute, San Luis, Sedgwick, Silt, Silverthorne, Silverton, Walsenburg, Adams County, Archuleta County, Clear Creek County, Costilla County, Gilpin County, Grand County, Larimer County, and Ouray County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
4,2017,Antonito,6226,0.15,0.1,,,,,
4,2017,Aspen,18997,0.15,0.1,,,,,
4,2017,Aurora,150886,0.15,0.1,,,,,
4,2017,Boulder,54057,0.15,0.1,,,,,
4,2017,Breckenridge,18658,0.15,0.1,,,,,
4,2017,Central City,2900,0.15,0.1,,,,,
4,2017,Cortez,20384,0.15,0.1,,,,,
4,2017,Crested Butte,4785,0.15,0.1,,,,,
4,2017,Denver,452740,0.15,0.1,,,,,
4,2017,Dillon,9851,0.15,0.1,,,,,
4,2017,Durango,32463,0.15,0.1,,,,,
4,2017,Edgewater,48511,0.15,0.1,,,,,
4,2017,Ft Collins,60258,0.15,0.1,,,,,
4,2017,Garden City,41269,0.15,0.1,,,,,
4,2017,Glendale,26977,0.15,0.1,,,,,
4,2017,Glenwood Springs,7799,0.15,0.1,,,,,
4,2017,Gunnison,4889,0.15,0.1,,,,,
4,2017,Idaho Springs,6015,0.15,0.1,,,,,
4,2017,Nederland,2536,0.15,0.1,,,,,
4,2017,Northglenn,50844,0.15,0.1,,,,,
4,2017,Salida,6356,0.15,0.1,,,,,
4,2017,Telluride,6279,0.15,0.1,,,,,
4,2017,Trinidad,49660,0.15,0.1,,,,,
4,2017,Wheat Ridge,15534,0.15,0.1,,,,,
4,2017,Adams County,,0.15,0.1,,,29412,,
4,2017,Boulder County,,0.15,0.1,,,15483,,
4,2017,Eagle County,,0.15,0.1,,,19870,,
4,2017,Park County,,0.15,0.1,,,3878,,
4,2017,Pueblo County,,0.15,0.1,,,48351,,
4,2017,Combined Local Governments,208353,0.15,0.1,"Alma, Basalt, Carbondale, Commerce City, De Beque, Eagle, Empire, Fraser, Frisco, Georgetown, Lafayette, Leadville, Log Lane Village, Louisville, Lyons, Mancos, Manitou Springs, Moffat, Mountain View, Oak Creek, Pagosa Springs, Parachute, Ridgway, San Luis, Sedgwick, Silt, Silver Plume, Silverthorne, Silverton, Steamboat Springs, Walsenburg, Archuleta County, Clear Creek County, Costilla County, Gilpin County, Grand County, and Larimer County.","Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
5,2017,Alma,,0.15,0.1,,,,NR,
5,2017,Antonito,6073,0.15,0.1,,,,,
5,2017,Aspen,6267,0.15,0.1,,,,,
5,2017,Aurora,130217,0.15,0.1,,,,,
5,2017,Basalt,,0.15,0.1,,,,NR,
5,2017,Boulder,52351,0.15,0.1,,,,,
5,2017,Breckenridge,9694,0.15,0.1,,,,,
5,2017,Carbondale,,0.15,0.1,,,,NR,
5,2017,Central City,2510,0.15,0.1,,,,,
5,2017,Commerce City,,0.15,0.1,,,,NR,
5,2017,Cortez,20279,0.15,0.1,,,,,
5,2017,Eagle,,0.15,0.1,,,,NR,
5,2017,Edgewater,37236,0.15,0.1,,,,,
5,2017,Empire,,0.15,0.1,,,,NR,
5,2017,Englewood,,0.15,0.1,,,,NR,
5,2017,Fraser,,0.15,0.1,,,,NR,
5,2017,Frisco,,0.15,0.1,,,,NR,
5,2017,Ft Collins,54201,0.15,0.1,,,,,
5,2017,Garden City,39402,0.15,0.1,,,,,
5,2017,Georgetown,,0.15,0.1,,,,NR,
5,2017,Glendale,30750,0.15,0.1,,,,,
5,2017,Glenwood Springs,7097,0.15,0.1,,,,,
5,2017,Gunnison,4302,0.15,0.1,,,,,
5,2017,Idaho Springs,4716,0.15,0.1,,,,,
5,2017,Lafayette,,0.15,0.1,,,,NR,
5,2017,Leadville,2368,0.15,0.1,,,,,
5,2017,Log Lane Village,,0.15,0.1,,,,NR,
5,2017,Louisville,,0.15,0.1,,,,NR,
5,2017,Lyons,,0.15,0.1,,,,NR,
5,2017,Mancos,,0.15,0.1,,,,NR,
5,2017,Oak Creek,,0.15,0.1,,,,NR,
5,2017,Pagosa Springs,,0.15,0.1,,,,NR,
5,2017,Parachute,21838,0.15,0.1,,,,,
5,2017,Ridgway,,0.15,0.1,,,,NR,
5,2017,Salida,5345,0.15,0.1,,,,,
5,2017,San Luis,,0.15,0.1,,,,NR,
5,2017,Sedgwick,,0.15,0.1,,,,NR,
5,2017,Silt,,0.15,0.1,,,,NR,
5,2017,Silver Plume,,0.15,0.1,,,,NR,
5,2017,Silverthorne,,0.15,0.1,,,,NR,
5,2017,Silverton,,0.15,0.1,,,,NR,
5,2017,Steamboat Springs,9893,0.15,0.1,,,,,
5,2017,Telluride,4948,0.15,0.1,,,,,
5,2017,Trinidad,44767,0.15,0.1,,,,,
5,2017,Walsenburg,,0.15,0.1,,,,NR,
5,2017,Wheat Ridge,15443,0.15,0.1,,,,,
5,2017,Combined Local Governments,161027,0.15,0.1,,"Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
5,2017,Adams County,,0.15,0.1,,,22060,,
5,2017,Archuleta County,,0.15,0.1,,,,,NR
5,2017,Boulder County,,0.15,0.1,,,15454,,
5,2017,Clear Creek County,,0.15,0.1,,,,,NR
5,2017,Costilla County,,0.15,0.1,,,,,NR
5,2017,Eagle County,,0.15,0.1,,,12169,,
5,2017,Gilpin County,,0.15,0.1,,,,,NR
5,2017,Grand County,,0.15,0.1,,,,,NR
5,2017,Larimer County,,0.15,0.1,,,,,NR
5,2017,Park County,,0.15,0.1,,,3411,,
5,2017,Pueblo County,,0.15,0.1,,,44764,,
6,2017,Alma,,0.15,0.1,,,,NR,
6,2017,Antonito,6661,0.15,0.1,,,,,
6,2017,Aspen,5769,0.15,0.1,,,,,
6,2017,Aurora,127314,0.15,0.1,,,,,
6,2017,Basalt,,0.15,0.1,,,,NR,
6,2017,Boulder,55755,0.15,0.1,,,,,
6,2017,Breckenridge,5431,0.15,0.1,,,,,
6,2017,Carbondale,3581,0.15,0.1,,,,,
6,2017,Central City,2582,0.15,0.1,,,,,
6,2017,Commerce City,,0.15,0.1,,,,NR,
6,2017,Cortez,21375,0.15,0.1,,,,,
6,2017,Crested Butte,3297,0.15,0.1,,,,,
6,2017,De Beque,,0.15,0.1,,,,NR,
6,2017,Denver,450919,0.15,0.1,,,,,
6,2017,Dillon,,0.15,0.1,,,,NR,
6,2017,Durango,30252,0.15,0.1,,,,,
6,2017,Eagle,,0.15,0.1,,,,NR,
6,2017,Edgewater,32914,0.15,0.1,,,,,
6,2017,Empire,,0.15,0.1,,,,NR,
6,2017,Englewood,,0.15,0.1,,,,NR,
6,2017,Fraser,,0.15,0.1,,,,NR,
6,2017,Frisco,,0.15,0.1,,,,NR,
6,2017,Ft Collins,56899,0.15,0.1,,,,,
6,2017,Garden City,38812,0.15,0.1,,,,,
6,2017,Georgetown,,0.15,0.1,,,,NR,
6,2017,Glendale,23825,0.15,0.1,,,,,
6,2017,Glenwood Springs,7424,0.15,0.1,,,,,
6,2017,Gunnison,4885,0.15,0.1,,,,,
6,2017,Idaho Springs,4914,0.15,0.1,,,,,
6,2017,Lafayette,,0.15,0.1,,,,NR,
6,2017,Leadville,3670,0.15,0.1,,,,,
6,2017,Log Lane Village,15571,0.15,0.1,,,,,
6,2017,Louisville,,0.15,0.1,,,,NR,
6,2017,Lyons,,0.15,0.1,,,,NR,
6,2017,Mancos,,0.15,0.1,,,,NR,
6,2017,Manitou Springs,,0.15,0.1,,,,NR,
6,2017,Moffat,,0.15,0.1,,,,NR,
6,2017,Mountain View,,0.15,0.1,,,,NR,
6,2017,Nederland,2174,0.15,0.1,,,,,
6,2017,Northglenn,35474,0.15,0.1,,,,,
6,2017,Oak Creek,,0.15,0.1,,,,NR,
6,2017,Pagosa Springs,,0.15,0.1,,,,NR,
6,2017,Parachute,15154,0.15,0.1,,,,,
6,2017,Ridgway,7731,0.15,0.1,,,,,
6,2017,Salida,6504,0.15,0.1,,,,,
6,2017,Silver Plume,,0.15,0.1,,,,NR,
6,2017,Silverthorne,,0.15,0.1,,,,NR,
6,2017,Silverton,,0.15,0.1,,,,NR,
6,2017,Steamboat Springs,9213,0.15,0.1,,,,,
6,2017,Telluride,2837,0.15,0.1,,,,,
6,2017,Trinidad,47044,0.15,0.1,,,,,
6,2017,Walsenburg,,0.15,0.1,,,,NR,
6,2017,Wheat Ridge,16843,0.15,0.1,,,,,
6,2017,Adams County,,0.15,0.1,,,20726,,
6,2017,Archuleta County,,0.15,0.1,,,,,NR
6,2017,Boulder County,,0.15,0.1,,,16453,,
6,2017,Clear Creek County,,0.15,0.1,,,,,NR
6,2017,Costilla County,,0.15,0.1,,,,,NR
6,2017,Eagle County,,0.15,0.1,,,8390,,
6,2017,Grand County,,0.15,0.1,,,,,NR
6,2017,Larimer County,,0.15,0.1,,,,,NR
6,2017,Park County,,0.15,0.1,,,3625,,
6,2017,Pueblo County,,0.15,0.1,,,51346,,
6,2017,Sum of NR Local Governments,157489,0.15,0.1,,"NR = Not releasable due to confidentiality requirements. Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
7,2017,Alma,,0.15,0.1,,,,NR,
7,2017,Antonito,7652,0.15,0.1,,,,,
7,2017,Aspen,11378,0.15,0.1,,,,,
7,2017,Aurora,125508,0.15,0.1,,,,,
7,2017,Basalt,,0.15,0.1,,,,NR,
7,2017,Boulder,58473,0.15,0.1,,,,,
7,2017,Breckenridge,9676,0.15,0.1,,,,,
7,2017,Carbondale,2452,0.15,0.1,,,,,
7,2017,Central City,3902,0.15,0.1,,,,,
7,2017,Commerce City,,0.15,0.1,,,,NR,
7,2017,Cortez,21277,0.15,0.1,,,,,
7,2017,Crested Butte,,0.15,0.1,,,,NR,
7,2017,De Beque,,0.15,0.1,,,,NR,
7,2017,Denver,471396,0.15,0.1,,,,,
7,2017,Dillon,6402,0.15,0.1,,,,,
7,2017,Durango,33613,0.15,0.1,,,,,
7,2017,Eagle,,0.15,0.1,,,,NR,
7,2017,Edgewater,32591,0.15,0.1,,,,,
7,2017,Empire,,0.15,0.1,,,,NR,
7,2017,Englewood,,0.15,0.1,,,,NR,
7,2017,Fraser,,0.15,0.1,,,,NR,
7,2017,Frisco,,0.15,0.1,,,,NR,
7,2017,Ft Collins,61651,0.15,0.1,,,,,
7,2017,Garden City,38190,0.15,0.1,,,,,
7,2017,Georgetown,,0.15,0.1,,,,NR,
7,2017,Glendale,29343,0.15,0.1,,,,,
7,2017,Glenwood Springs,7850,0.15,0.1,,,,,
7,2017,Gunnison,5622,0.15,0.1,,,,,
7,2017,Idaho Springs,6173,0.15,0.1,,,,,
7,2017,Lafayette,,0.15,0.1,,,,NR,
7,2017,Leadville,3724,0.15,0.1,,,,,
7,2017,Log Lane Village,12915,0.15,0.1,,,,,
7,2017,Louisville,,0.15,0.1,,,,NR,
7,2017,Lyons,,0.15,0.1,,,,NR,
7,2017,Mancos,,0.15,0.1,,,,NR,
7,2017,Manitou Springs,,0.15,0.1,,,,NR,
7,2017,Moffat,,0.15,0.1,,,,NR,
7,2017,Mountain View,,0.15,0.1,,,,NR,
7,2017,Nederland,2873,0.15,0.1,,,,,
7,2017,Northglenn,36080,0.15,0.1,,,,,
7,2017,Oak Creek,,0.15,0.1,,,,NR,
7,2017,Pagosa Springs,,0.15,0.1,,,,NR,
7,2017,Parachute,16122,0.15,0.1,,,,,
7,2017,Ridgway,10145,0.15,0.1,,,,,
7,2017,Salida,8389,0.15,0.1,,,,,
7,2017,San Luis,,0.15,0.1,,,,NR,
7,2017,Sedgwick,,0.15,0.1,,,,NR,
7,2017,Silt,,0.15,0.1,,,,NR,
7,2017,Silver Plume,,0.15,0.1,,,,NR,
7,2017,Silverthorne,,0.15,0.1,,,,NR,
7,2017,Silverton,,0.15,0.1,,,,NR,
7,2017,Steamboat Springs,11523,0.15,0.1,,,,,
7,2017,Telluride,5804,0.15,0.1,,,,,
7,2017,Trinidad,67157,0.15,0.1,,,,,
7,2017,Walsenburg,,0.15,0.1,,,,NR,
7,2017,Wheat Ridge,17236,0.15,0.1,,,,,
7,2017,Adams County,,0.15,0.1,,,21090,,
7,2017,Archuleta County,,0.15,0.1,,,,,NR
7,2017,Boulder County,,0.15,0.1,,,17546,,
7,2017,Clear Creek County,,0.15,0.1,,,,,NR
7,2017,Costilla County,,0.15,0.1,,,,,NR
7,2017,Eagle County,,0.15,0.1,,,11643,,
7,2017,Gilpin County,,0.15,0.1,,,,,NR
7,2017,Grand County,,0.15,0.1,,,,,NR
7,2017,Larimer County,,0.15,0.1,,,,,NR
7,2017,Park County,,0.15,0.1,,,4138,,
7,2017,Pueblo County,,0.15,0.1,,,52895,,
7,2017,Sum of NR Local Governments,179452,0.15,0.1,,"NR = Not releasable due to confidentiality requirements. Per §39-21-113(4), C.R.S., data from these localgovernments must be combined in order to protectthe confidentiality of the individual taxpayers.It is the Department's practice to release aggregateddata only when there are at least three taxpayersin a given category and none of them represents more than 80% of the total.",,,
8,2017,Alma,,0.1,0.15,,,,NR,
8,2017,Antonito,8692,0.1,0.15,,,,,
8,2017,Aspen,16880,0.1,0.15,,,,,
8,2017,Aurora,131142,0.1,0.15,,,,,
8,2017,Basalt,,0.1,0.15,,,,NR,
8,2017,Boulder,60941,0.1,0.15,,,,,
8,2017,Breckenridge,11484,0.1,0.15,,,,,
8,2017,Carbondale,2666,0.1,0.15,,,,,
8,2017,Central City,4172,0.1,0.15,,,,,
